,name,lat,lon
2521,complete nutrition,39.0836397,-108.5889104
2522,Village Market,39.6430676,-106.5916552
2523,Simple Foods Market,38.5248604,-106.0054191
2524,Safeway,37.9872411,-103.5478476
2525,Sprouts Farmers Market,39.7404516,-104.9444921
2526,Sprouts,39.624371,-104.9883675
2527,Safeway,39.7391257,-105.0987139
2528,Natural Grocers,39.7398009,-105.0981415
2529,City Market,38.4528564,-107.8648667
2530,Safeway Grocery Store,40.1879657,-105.1295217
2531,K Food Market,39.7617463,-105.0183431
2532,King Soopers,40.4047974,-104.7333591
2533,Sprouts Farmers Market,39.5391019,-104.7713252
2534,Safeway,40.3943397,-104.7529333
2535,Target,40.3940251,-104.7500419
2536,Natural Grocers,39.7698814,-105.044584
2537,Complete Nutrition Vitamin & Supplements,39.7254305,-104.9880573
2538,Safeway,39.6812895,-105.1225536
2539,King Soopers,39.6905264,-105.1194557
2540,Walmart Supercenter,39.7222013,-105.0803896
2541,Natural Grocers,39.739385,-104.9792562
2542,Diyar International Market,39.6764836,-104.8738449
2543,Sprouts Farmers Market,39.9124305,-105.0507693
2544,Zamzam Halal International Market & Deli,39.6770588,-104.9021006
2545,Arabic Market,39.675561,-104.9029003
2546,Carcineria El Jakalito,39.675401,-104.9032235
2547,Vitamin World,39.9136867,-104.9782239
2548,King Soopers,39.731112,-104.9735305
2549,Trader Joe's,39.7269876,-104.9827267
2550,Safeway,37.5782176,-106.1422477
2551,King Soopers,39.6951053,-104.8109678
2552,King Soopers,39.7703558,-105.0541795
2553,Walmart Supercenter,39.7791672,-105.0612536
2554,Family Dollar,39.7328739,-105.0524876
2555,Horn O' Plenty Health Foods,39.0661938,-108.5655021
2556,Won's Market,39.7189066,-105.0537103
2557,King Soopers,39.7392499,-105.1930258
2558,Sam's Club,39.788936,-105.0777505
2559,Whole Foods Market,39.5887461,-106.1002662
2560,Pacific Ocean Marketplace,39.7104166,-105.0136758
2561,Cost Plus World Market,39.7352781,-105.1628846
2562,Hmart,39.8624579,-105.051507
2563,Walmart Neighborhood Market,39.786305,-104.811509
2564,City Market,39.6305668,-106.0554222
2565,Dollar Tree,40.2601885,-103.7723221
2566,Family Dollar,40.2555954,-103.6361958
2567,Brush Grocery Kart,40.2539611,-103.6358008
2568,Nartural Grocers,39.0868239,-108.5916776
2569,Whole Foods Market,40.1451237,-105.1292797
2570,SV Groceries,40.1432242,-105.127505
2571,Sprouts Farmers Market,40.5258973,-105.0287949
2572,Vitamin Cottage Natural Grocers,39.7109161,-104.9352845
2573,Sprouts Farmers Market,39.7689562,-105.0481669
2574,Ananda Bazaar,39.6616409,-104.8537381
2575,Bombay Bazaar,39.6600005,-104.8484073
2576,Walmart Supercenter,38.7493072,-108.0538394
2577,Safeway,38.7509273,-108.0519002
2578,Keene Market,40.108481,-104.5195047
2579,Trader Joe's,40.5395852,-105.0759104
2580,Save-A-Lot,39.7846145,-105.0057879
2581,King Soopers,40.1988474,-105.1042656
2582,KOA General Store,38.0811917,-107.705901
2583,Walmart Neighborhood Market,39.826783,-105.02339
2584,Friendly Market,39.7716013,-105.0066191
2585,Clark's market,38.1310201,-108.2914854
2586,Organic Peddler,37.6797039,-106.3617401
2587,The Market at Mountain Village,37.9325263,-107.8539792
2588,The Market at Telluride,37.9367956,-107.8123207
2589,Clark's Market,37.9394972,-107.8196103
2590,Walmart Supercenter,37.3462031,-108.5620158
2591,Safeway,39.8833471,-104.942512
2592,India Bazaar,40.0138039,-105.2581336
2593,King Soopers,40.0022103,-105.0099558
2594,Asian Food Market,40.0279542,-105.2589185
2595,India's Grocery,40.0284019,-105.2592136
2596,Charlie's Market,37.5084625,-105.0093398
2597,Pacific Mercantile,39.7516837,-104.9928189
2598,Alfalfa's Market,40.0136933,-105.2792894
2599,Safeway,39.6518885,-104.9846441
2600,Whole Foods Market,39.7547404,-105.001586
2601,Safeway,40.4083458,-105.0979102
2602,Sprouts,39.8366259,-105.0835918
2603,Natural Grocers,39.8379755,-105.0828461
2604,Commissary,38.9779452,-104.869475
2605,Whole Foods Market,39.5450526,-104.9423317
2606,Safeway,39.776215,-105.0369437
2607,City Market,37.2744395,-107.8819398
2608,Safeway,39.6311863,-106.418044
2609,Natural Grocers,39.772934,-104.9759094
2610,Lucky's Market,40.1533273,-105.1049185
2611,Safeway,40.1535416,-105.1094201
2612,Natural Grocers,40.1902756,-105.1038381
2613,Upper Carniceria,38.8674201,-104.7560066
2614,Save a Lot,38.8808267,-104.7554128
2615,The Vitamin Shoppe,38.9373463,-104.7970699
2616,Simply Bulk Market,40.1661808,-105.1023266
2617,Trader Joe's,39.6116591,-105.0892394
2618,Walmart Supercenter,39.6280263,-106.5003123
2619,King Soopers,39.7024373,-104.9415406
2620,Walmart Neighborhood Market,39.7393471,-104.8672141
2621,Walmart Neighborhood Market,38.219917,-104.641619
2622,Walmart Supercenter,39.67762,-105.021464
2623,Walmart Supercenter,37.261885,-107.062518
2624,Walmart Supercenter,39.8007,-105.104
2625,Walmart Supercenter,40.511514,-107.569572
2626,Walmart Neighborhood Market,39.640148,-104.737674
2627,Walmart Supercenter,38.336412,-104.740053
2628,Walmart Supercenter,39.590559,-104.861788
2629,Walmart Neighborhood Market,38.8926905,-104.7555238
2630,Walmart Supercenter,38.768632,-104.781091
2631,Walmart Supercenter,37.230004,-107.865779
2632,Walmart Supercenter,39.636245,-105.083434
2633,Walmart Supercenter,40.456889,-105.080953
2634,North Park Super's,40.7549424,-106.280791
2635,Safeway,39.7250235,-104.9734599
